band,wavelength
1,418.416
2,424.043
3,429.457
4,434.686
5,439.757
6,444.699
7,449.539
8,454.306
9,459.031
10,463.73
11,468.411
12,473.08
13,477.744
14,482.411
15,487.087
16,491.78
17,496.497
18,501.243
19,506.02
20,510.828
21,515.672
22,520.55
23,525.467
24,530.424
25,535.422
26,540.463
27,545.551
28,550.687
29,555.873
30,561.112
31,566.405
32,571.756
33,577.166
34,582.636
35,588.171
36,593.773
37,599.446
38,605.193
39,611.017
40,616.923
41,622.92
42,628.987
43,635.112
44,641.294
45,647.537
46,653.841
47,660.207
48,666.637
49,673.131
50,679.691
51,686.319
52,693.014
53,699.78
54,706.617
55,713.524
56,720.501
57,727.545
58,734.654
59,741.826
60,749.06
61,756.353
62,763.703
63,771.108
64,778.567
65,786.078
66,793.639
67,801.248
68,808.905
69,816.608
70,824.355
71,832.145
72,839.976
73,847.847
74,855.757
75,863.703
76,871.683
77,879.692
78,887.729
79,895.789
80,901.962
81,903.87
82,911.572
83,911.968
84,920.08
85,921.32
86,928.204
87,931.204
88,936.335
89,941.218
90,944.47
91,951.361
92,952.608
93,960.748
94,961.629
95,968.891
96,972.017
97,977.037
98,982.524
99,985.186
100,993.145
101,993.338
102,1003.88
103,1014.72
104,1025.66
105,1036.7
106,1047.84
107,1059.07
108,1070.39
109,1081.79
110,1093.26
111,1104.81
112,1116.43
113,1128.11
114,1139.84
115,1151.62
116,1163.44
117,1175.31
118,1187.2
119,1199.11
120,1211.05
121,1223
122,1234.97
123,1246.95
124,1258.93
125,1270.92
126,1282.92
127,1294.91
128,1306.9
129,1318.88
130,1330.86
131,1342.82
132,1354.76
133,1366.69
134,1378.6
135,1390.48
136,1449.43
137,1461.11
138,1472.74
139,1484.34
140,1495.89
141,1507.4
142,1518.87
143,1530.29
144,1541.68
145,1553.01
146,1564.31
147,1575.55
148,1586.76
149,1597.91
150,1609.02
151,1620.09
152,1631.11
153,1642.08
154,1653
155,1663.87
156,1674.7
157,1685.47
158,1696.2
159,1706.87
160,1717.5
161,1728.08
162,1738.6
163,1749.08
164,1759.51
165,1769.89
166,1780.22
167,1967.66
168,1977.08
169,1986.45
170,1995.79
171,2005.08
172,2014.33
173,2023.54
174,2032.71
175,2041.83
176,2050.92
177,2059.96
178,2068.97
179,2077.93
180,2086.86
181,2095.74
182,2104.59
183,2113.4
184,2122.17
185,2130.9
186,2139.6
187,2148.26
188,2156.88
189,2165.47
190,2174.02
191,2182.53
192,2191.01
193,2199.46
194,2207.86
195,2216.24
196,2224.58
197,2232.89
198,2241.16
199,2249.4
200,2257.61
201,2265.79
202,2273.93
203,2282.04
204,2290.12
205,2298.17
206,2306.19
207,2314.18
208,2322.13
209,2330.05
210,2337.94
211,2345.81
212,2353.64
213,2361.44
214,2369.21
215,2376.95
216,2384.66
217,2392.34
218,2400
219,2407.62
220,2415.21
221,2422.78
222,2430.32
223,2437.83
224,2445.3
